# Hostname exactly matches octo.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
"""Live At 9:30"" Reel | octo",/multimedia/live-930-reel,1
የዲሲ የጂኦግራፊያዊ መረጃ (GIS) አገልግሎቶች(Amharic) | octo,/service/የዲሲ-የጂኦግራፊያዊ-መረጃ-gis-አገልግሎቶችamharic,18
የፖሊስ አገልግሎት የሚገኙባቸው ቦታዎችን መፈለግያ (Amharic) | octo,/node/1674726,3
የፖሊስ አገልግሎት የሚገኙባቸው ቦታዎችን መፈለግያ (Amharic) | octo,/service/የፖሊስ-አገልግሎት-የሚገኙባቸው-ቦታዎችን-መፈለግያ-amharic,6
የኤጀንሲው ዳይሬክተሮችን ያግኙ | octo,/am/page/contact-agency-directors,47
启动警察服务区查找器Chinese)Police Service Area Finder | octo,/service/启动警察服务区查找器chinesepolice-service-area-finder,5
开放数据(Chinese)-Open Data | octo,/es/node/1675016,1
开放数据(Chinese)-Open Data | octo,/service/开放数据chinese-open-data,16
About DC One Card | octo,/page/about-dc-one-card,278
About OCTO | octo,/es/page/about-octo,5
About OCTO | octo,/fr/page/about-octo,5
About OCTO | octo,/page/about-octo,503
About the CTO | octo,/biography/about-cto,803
About the CTO | octo,/biography/stephen-miller,3
About the CTO | octo,/es/node/1705511,1
About the CTO | octo,/fr/node/1705511,6
About the CTO | octo,/node/1705511,3
Acceptable Use Policy | octo,/node/1523626,99
Acceptable Use Policy | octo,/publication/acceptable-use-policy,113
Access Control Policy | octo,/node/855492,65
Access Control Policy | octo,/publication/access-control-policy,26
Add a ArcGIS Server Dynamic Map Service to Google Maps | octo,/node/709892,2
Add a ArcGIS Server Dynamic Map Service to Google Maps | octo,/page/add-arcgis-server-dynamic-map-service-google-maps,43
Add a Cached Basemap Service to Google Maps | octo,/node/709912,7
Add a Cached Basemap Service to Google Maps | octo,/page/add-cached-basemap-service-google-maps,6
Add new comment | octo,/comment/reply/1251026,5
Add new comment | octo,/comment/reply/1355396,1
Add new comment | octo,/es/comment/reply/1243741,2
Addressing and Property Standards | octo,/am/page/addressing-and-property-standards,4
Addressing and Property Standards | octo,/node/721712,5
Addressing and Property Standards | octo,/page/addressing-and-property-standards,10
Administrative and Other Boundaries - View 1 | octo,/external-link/administrative-and-other-boundaries-view-1,7
Administrative and Other Boundaries - View 1 | octo,/node/719492,3
Aerial Photo 2007 - View 1 | octo,/node/720022,2
Aerial Photo 2007 - View 2 | octo,/node/720032,2
Aerial Photo 2008 - View 1 | octo,/external-link/aerial-photo-2008-view-1,5
Aerial Photo 2008 - View 1 | octo,/node/720002,4
Aerial Photo 2008 - View 2 | octo,/external-link/aerial-photo-2008-view-2,5
Aerial Photo 2008 - View 2 | octo,/node/720012,2
Aerial Photo 2010 - View 1 | octo,/external-link/aerial-photo-2010-view-1,7
Aerial Photo 2010 - View 1 | octo,/node/719982,2
Aerial Photo 2010 - View 2 | octo,/external-link/aerial-photo-2010-view-2,5
Aerial Photo 2010 - View 2 | octo,/node/719992,2
Aerial Photo 2011 - View 2 | octo,/node/719972,2
Agency Cybersecurity Training Liaisons | octo,/page/agency-cybersecurity-training-liaisons-01,89
Agency Management Program | octo,/node/701742,1
Agency Management Program | octo,/page/agency-management-program,29
Agency Publisher Resources | octo,/page/agency-publisher-resources,225
AI Listening Session | octo,/es/node/1803311,3
AI Listening Session | octo,/event/ai-listening-session,99
AI Listening Session | octo,/node/1803311,1
AI Listening Session | octo,/node/1803311/draft,6
AI/ML Adoption and/or Usage Guidelines | octo,/page/aiml-adoption-andor-usage-guidelines,185
AI/ML Governance Policy | octo,/page/aiml-governance-policy,378
All About Cloud | octo,/event/all-about-cloud,8
All About Cloud | octo,/fr/node/1556536,8
All About Cloud | octo,/node/1556536,1
An ninh mạng | octo,/page/ninh-mạng,8
Annotation - View 1 | octo,/external-link/annotation-view-1,60
Annotation - View 1 | octo,/node/719512,2
Annotation - View 2 | octo,/external-link/annotation-view-2,50
Annotation - View 2 | octo,/node/719522,1
"Antoinette S. Mitchell, Ph.D. | octo",/biography/antoinette-s-mitchell-phd,1
ግልጽ/ክፍት መረጃ (Amharic)-Open Data | octo,/service/ግልጽክፍት-መረጃ-amharic-open-data,5
Applications Solutions | octo,/node/701762,1
Applications Solutions | octo,/page/applications-solutions,54
Apply for a DC One Card | octo,/node/687302,13
Apply for a DC One Card | octo,/service/apply-dc-one-card,435
Apps for iOS | octo,/external-link/apps-ios,1
Apps for iOS | octo,/node/726312,38
ArcGIS Desktop License Usage in Apr 2012 | octo,/node/727112,1
ArcGIS Desktop License Usage in Aug 2011 | octo,/node/727182,1
ArcGIS Desktop License Usage in Aug 2012 | octo,/node/727052,1
ArcGIS Desktop License Usage in Aug 2012 | octo,/publication/arcgis-desktop-license-usage-aug-2012,1
ArcGIS Desktop License Usage in Dec 2011 | octo,/node/727142,1
ArcGIS Desktop License Usage in Dec 2012 | octo,/node/727012,1
ArcGIS Desktop License Usage in Dec 2012 | octo,/publication/arcgis-desktop-license-usage-dec-2012,1
ArcGIS Desktop License Usage in Feb 2012 | octo,/node/727122,1
ArcGIS Desktop License Usage in Feb 2012 | octo,/publication/arcgis-desktop-license-usage-feb-2012,1
ArcGIS Desktop License Usage in Feb 2013 | octo,/node/726992,1
ArcGIS Desktop License Usage in Jan 2012 | octo,/node/727132,1
ArcGIS Desktop License Usage in Jan 2012 | octo,/publication/arcgis-desktop-license-usage-jan-2012,1
ArcGIS Desktop License Usage in Jan 2013 | octo,/node/727002,1
ArcGIS Desktop License Usage in July 2012 | octo,/publication/arcgis-desktop-license-usage-july-2012,1
ArcGIS Desktop License Usage in June 2012 | octo,/node/727072,1
ArcGIS Desktop License Usage in Mar 2012 | octo,/node/727102,1
ArcGIS Desktop License Usage in Mar 2013 | octo,/node/726982,1
ArcGIS Desktop License Usage in Mar 2013 | octo,/publication/arcgis-desktop-license-usage-mar-2013,1
ArcGIS Desktop License Usage in May 2012 | octo,/node/727092,1
ArcGIS Desktop License Usage in May 2012 | octo,/publication/arcgis-desktop-license-usage-may-2012,1
ArcGIS Desktop License Usage in Nov 2011 | octo,/node/727152,1
ArcGIS Desktop License Usage in Nov 2011 | octo,/publication/arcgis-desktop-license-usage-nov-2011,1
ArcGIS Desktop License Usage in Nov 2012 | octo,/node/727022,1
ArcGIS Desktop License Usage in Oct 2011 | octo,/node/727162,1
ArcGIS Desktop License Usage in Oct 2012 | octo,/node/727032,1
ArcGIS Desktop License Usage in Oct 2012 | octo,/publication/arcgis-desktop-license-usage-oct-2012,1
ArcGIS Desktop License Usage in Sep 2011 | octo,/node/727172,1
ArcGIS Desktop License Usage in Sep 2012 | octo,/node/727042,1
ArcGIS Desktop License Usage in Sep 2012 | octo,/publication/arcgis-desktop-license-usage-sep-2012,1
ArcGIS Developer Professional | octo,/external-link/arcgis-developer-professional,12
ArcGIS Developer Professional | octo,/external-link/esri-developer-network-edn,1
ArcGIS for Desktop - Extensions | octo,/external-link/arcgis-desktop-extensions,2
ArcGIS for Desktop - Extensions | octo,/node/726262,3
ArcGIS for Desktop | octo,/external-link/arcgis-desktop,5
ArcGIS for Desktop | octo,/node/726252,36
ArcGIS for Server | octo,/external-link/arcgis-server,48
ArcGIS for Server | octo,/node/726282,42
ArcGIS for Transportation Analytics | octo,/external-link/arcgis-transportation-analytics,7
ArcGIS for Transportation Analytics | octo,/node/726782,2
ArcGIS for Windows Mobile | octo,/external-link/arcgis-windows-mobile,11
ArcGIS for Windows Mobile | octo,/node/726292,5
ArcGIS JavaScript Extension for the Google Maps API Reference | octo,/node/709862,1
ArcGIS.com | octo,/external-link/arcgiscom,5
ArcGIS.com | octo,/node/726822,9
ArcPad | octo,/external-link/arcpad,7
ArcPad | octo,/node/726302,1
Arlington County GIS | octo,/external-link/arlington-county-gis,8
Arlington County GIS | octo,/node/720682,1
"Arrest Made in a Burglary One while Armed (Gun) Offense: 800 Block of Marietta Place, Northwest | octo",/release/arrest-made-burglary-one-while-armed-gun-offense-800-block-marietta-place-northwest,1
Artificial Intelligence Task Force Wins Inaugural AI 50 Award | octo,/node/1793981,1
Artificial Intelligence Task Force Wins Inaugural AI 50 Award | octo,/release/artificial-intelligence-task-force-wins-inaugural-ai-50-award,76
ashley.fisher's blog | octo,/blogs/ashleyfisher,19
ASK DC App for Android | octo,/external-link/ask-dc-app-android,23
Ask the Chief Technology Officer | octo,/external-link/ask-chief-technology-officer,31
Ask the Chief Technology Officer | octo,/external-link/ask-director-octo,6
Ask the Chief Technology Officer | octo,/node/311662,2
Asset Management Policy | octo,/node/1523596,23
Asset Management Policy | octo,/publication/asset-management-policy,20
Atlas Plus | octo,/node/708892,13
Atlas Plus | octo,/service/atlas-plus,95
Audit & Accountability Policy | octo,/node/1523461,22
Audit & Accountability Policy | octo,/publication/audit-accountability-policy,14
Basic Map | octo,/external-link/basic-map,50
Basic Map | octo,/node/719402,2
Beauty in the Making | Ward 7’s Entrepreneurs Redefine Wellness and Community | octo,/blog/beauty-making-ward-7’s-entrepreneurs-redefine-wellness-and-community,1
Blog Comments Policy | octo,/blog/blog-comments-policy,25
Blog DOEE tester | octo,/blog/blog-doee-tester,1
Boards and Committees | octo,/es/page/boards-and-committees,1
Boards and Committees | octo,/fr/page/boards-and-committees,2
Boards and Committees | octo,/page/boards-and-committees,90
Bowser Administration Announces DCx Semi-Finalists | octo,/release/bowser-administration-announces-dcx-semi-finalists,11
"Bowser Administration Announces DCx, a Public Challenge for Innovative Solutions in Public Safety and Health | octo",/release/bowser-administration-announces-dcx-public-challenge-innovative-solutions-public-safety-and,10
Bowser Administration Announces First-of-Its-Kind AI Pilot Program of New Platform from MIT Governance Lab and Stanford Digital Economy Lab | octo,/release/bowser-administration-announces-first-its-kind-ai-pilot-program-new-platform-mit-governance,193
Bowser Administration Announces the Winners of DCx | octo,/release/bowser-administration-announces-winners-dcx,6
Bowser Administration Announces the Winners of GigabitDCx | octo,/release/bowser-administration-announces-winners-gigabitdcx,2
Bowser Administration Encourages Residents to Follow Safe Online Shopping Tips During the Holiday Season | octo,/release/bowser-administration-encourages-residents-follow-safe-online-shopping-tips-during-holiday,49
Buscador de áreas de servicio policial (Spanish) | octo,/service/buscador-de-áreas-de-servicio-policial-spanish,76
Business Analyst Online | octo,/external-link/business-analyst-online,5
Business Analyst Online | octo,/node/726802,6
Business and Economic Development - View 1 | octo,/external-link/business-and-economic-development-view-1,5
Business and Economic Development - View 1 | octo,/node/719542,2
Business and Economic Development - View 2 | octo,/node/719562,3
Business Incentive Map | octo,/node/1200410,3
Công cụ tìm khu vực dịch vụ cảnh sát_Vietnamise | octo,/service/công-cụ-tìm-khu-vực-dịch-vụ-cảnh-sátvietnamise,5
Candidate Campaign Contributions Search | octo,/node/711872,2
Capital Improvements Map | octo,/external-link/capital-improvements-map,7
Category Contents | octo,/external-link/category-contents,29
Category Contents | octo,/node/719412,2
Category Features | octo,/external-link/category-features,34
Category Features | octo,/node/719432,2
Chayse Banks | octo,/biography/chayse-banks,1
Chi Cha Lounge· - 10-08-25 - Transcript | octo,/publication/chi-cha-lounge·-10-08-25-transcript,1
christina.harper's blog | Page 2 | octo,/blogs/christinaharper,2
CIO List 2019 | octo,/publication/cio-list-2019,2
Clean Desk Policy | octo,/node/1523631,13
Clean Desk Policy | octo,/publication/clean-desk-policy,37
Community Tapestry | octo,/external-link/community-tapestry,2
Community Tapestry | octo,/node/726812,8
Compliance Policy | octo,/node/1523511,27
Compliance Policy | octo,/publication/compliance-policy,26
Compose tips | octo,/filter/tips,7
Configuration Management Policy | octo,/node/1523521,25
Configuration Management Policy | octo,/publication/configuration-management-policy,18
Confirmation Testimony of Acting Chief Technology Officer Lindsey Parker | octo,/release/confirmation-testimony-acting-chief-technology-officer-lindsey-parker,7
Connect DC Tech Locator | octo,/external-link/connect-dc-tech-locator,2
Contáctese con los directores | octo,/es/page/contact-agency-directors,4
Contact Agency Directors | octo,/page/contact-agency-directors,126
Contact Us | octo,/page/contact-us-16,1
Content Filtering Standard | octo,/node/1285146,196
Content Filtering Standard | octo,/page/content-filtering-standard,14
Contingency Planning Policy | octo,/node/1523526,36
Contingency Planning Policy | octo,/publication/contingency-planning-policy,3
Coordinate Converter | octo,/node/719482,2
Coordinate System Standards | octo,/am/page/coordinate-system-standards,1
Coordinate System Standards | octo,/node/721752,4
Coordinate System Standards | octo,/page/coordinate-system-standards,113
Council of Global City CIOs | Cyber Resiliency Framework | octo,/publication/council-global-city-cios-cyber-resiliency-framework,1
Crime Cards | octo,/external-link/crime-cards,48
Crime Cards | octo,/node/159102,15
CTO Mancini Statement on Web Form Enhancements | octo,/fr/release/cto-mancini-statement-web-form-enhancements,4
CTO Mancini Statement on Web Form Enhancements | octo,/release/cto-mancini-statement-web-form-enhancements,4
CTO Stephen Miller’s FY24 Performance Testimony | octo,/node/1767451,5
CTO Stephen Miller’s FY24 Performance Testimony | octo,/release/cto-stephen-miller-fy24-performance-testimony,6
CTO Stephen Miller’s FY26 Budget Oversight Hearing Testimony | octo,/release/cto-stephen-miller’s-fy26-budget-oversight-hearing-testimony,17
CTO Vemulapalli on Bloomberg 'Future of Cities' Panel | octo,/event/cto-vemulapalli-bloomberg-future-cities-panel,1
Cultural and Society - View 1 | octo,/node/719582,2
Cultural and Society - View 2 | octo,/node/719602,2
CWITS Audit Trail Monitoring and Reporting Policy | octo,/node/856502,1
CWITS Audit Trail Monitoring and Reporting Policy | octo,/publication/cwits-audit-trail-monitoring-and-reporting-policy,19
Cyber Security Incident Response Team Policy | octo,/node/1542086,23
Cyber Security Incident Response Team Policy | octo,/publication/cyber-security-incident-response-team-policy,30
Cyber Security Incident Response Team Policy | octo,/publication/cyber-security-incident-response-team-policy-0,5
Cybersécurité | octo,/node/1674631/,1
Cybersécurité | octo,/page/cybersécurité,5
Cybersecurity | octo,/am/cybersecurity,7
Cybersecurity | octo,/cybersecurity,274
Cybersecurity | octo,/es/cybersecurity,1
Cybersecurity | octo,/event/cybersecurity,1
Cybersecurity | octo,/page/cybersecurity-safety,6
Cybersecurity网络安全 | octo,/page/cybersecurity网络安全,7
Dữ liệu mở (Vietnamise)-Open Data | octo,/am/node/1674766,4
Dữ liệu mở (Vietnamise)-Open Data | octo,/service/dữ-liệu-mở-vietnamise-open-data,2
Dịch vụ OCTO Phiên dịch ngôn ngữ | octo,/node/1677021,61
Dịch vụ OCTO Phiên dịch ngôn ngữ | octo,/page/dịch-vụ-octo-phiên-dịch-ngôn-ngữ,1
Data and Records Retention Policy | octo,/node/1523531,33
Data and Records Retention Policy | octo,/publication/data-and-records-retention-policy,67
Data Catalog | octo,/am/external-link/data-catalog,81
Data Catalog | octo,/es/external-link/data-catalog,88
Data Catalog | octo,/external-link/data-catalog,938
Data Catalog | octo,/fr/external-link/data-catalog,93
Data Catalog | octo,/node/159922,184
Data Distribution and Security Standards | octo,/am/page/data-distribution-and-security-standards,1
Data Distribution and Security Standards | octo,/node/721772,4
Data Distribution and Security Standards | octo,/page/data-distribution-and-security-standards,22
Data Management | octo,/event/data-management,6
DC 311 Mapping | octo,/node/712242,2
DC 311 Mapping | octo,/service/dc-311-mapping,144
"DC Agencies to Hold All-Hands Twitter Townhall to Highlight Enhancements, Answer Questions on DC.gov Website | octo",/release/dc-agencies-hold-all-hands-twitter-townhall-highlight-enhancements-answer-questions-dcgov,8
DC Aging and Disability Resource Centers Locations | octo,/node/712542,1
DC Aging and Disability Resource Centers Locations | octo,/service/dc-aging-and-disability-resource-centers-locations,2
DC Atlas Plus | octo,/external-link/dc-atlas-plus,1
DC Atlas Plus | octo,/node/708922,20
DC Atlas Plus All-in-One User Guide | octo,/publication/dc-atlas-all-in-one-user-guide,1
DC Basemap - View 1 | octo,/node/719612,2
DC Basemap - View 2 | octo,/node/719622,3
DC Basemap - View 3 | octo,/node/719632,2
DC Basemap - View 4 | octo,/node/719662,2
DC Council Confirms Rob Mancini as DC Chief Technology Officer | octo,/release/dc-council-confirms-rob-mancini-dc-chief-technology-officer,3
DC Crime Cards | octo,/service/dc-crime-cards,121
DC Data Policy | octo,/node/1240541,8
DC Department of General Services Mobile App - Android | octo,/external-link/dc-department-general-services-mobile-app-android,4
DC Department of General Services Mobile App - Android | octo,/node/1012052,1
DC Department of General Services Mobile App - Apple | octo,/node/1012062,2
DC From Above | 22 Years of Aerial Photography in DC’s Data Site | octo,/blog/dc-above-22-years-aerial-photography-dc’s-data-site,9
DC Geographic Information System Program | octo,/am/service/dc-geographic-information-system-program,3
DC Geographic Information System Program | octo,/fr/service/dc-geographic-information-system-program,2
DC Geographic Information System Program | octo,/node/718302,6
DC Geographic Information System Program | octo,/service/dc-geographic-information-system-program,101
DC GIS Business Plan - 2011 | octo,/fr/publication/dc-gis-business-plan-2011,2
DC GIS Business Plan - 2011 | octo,/publication/dc-gis-business-plan-2011,2
DC GIS Business Plan - 2016 | octo,/fr/publication/dc-gis-business-plan-2016,1
DC GIS Business Plan - 2016 | octo,/publication/dc-gis-business-plan-2016,6
DC GIS Glossary | octo,/fr/page/dc-gis-glossary,1
DC GIS Glossary | octo,/page/dc-gis-glossary,98
DC GIS 서비스(Korean) | octo,/node/1674621,4
DC GIS 서비스(Korean) | octo,/service/dc-gis-서비스korean,4
DC GIS Offers Improved KML Data for Google Earth and Esri ArcGIS Explorer | octo,/release/dc-gis-offers-improved-kml-data-google-earth-and-esri-arcgis-explorer,3
DC GIS Office Location | octo,/es/publication/dc-gis-office-location,4
DC GIS Office Location | octo,/publication/dc-gis-office-location,3
DC GIS Services | octo,/es/service/dc-gis-services,1
DC GIS Services | octo,/node/708432,6
DC GIS Services | octo,/service/dc-gis-services,2017
DC GIS Services | octo,/service/dc-gis-services/checkout/,1
DC GIS Strategic Plan - 2009 | octo,/publication/dc-gis-strategic-plan-2009,4
DC GIS Strategic Plan - 2016 | octo,/publication/dc-gis-strategic-plan-2016,2
DC GIS Terms of Service | octo,/fr/page/dc-gis-terms-service,1
DC GIS Terms of Service | octo,/node/1165116,10
DC GIS Terms of Service | octo,/page/dc-gis-terms-service,3
DC Gov Awards | octo,/am/page/dc-gov-awards,40
DC Gov Awards | octo,/es/page/dc-gov-awards,45
DC Gov Awards | octo,/fr/page/dc-gov-awards,47
DC Gov Awards | octo,/page/dc-gov-awards,158
DC Gov Drupal 7 Reference Guide and User Manual | octo,/fr/publication/dc-gov-drupal-7-reference-guide-and-user-manual,1
DC Gov Drupal 7 Reference Guide and User Manual | octo,/node/721662,5
DC Gov Drupal 7 Reference Guide and User Manual | octo,/publication/dc-gov-drupal-7-reference-guide-and-user-manual,20
DC Government Hosted Tech Career Collaboration for 50+ High School Students During National Cybersecurity Month | octo,/node/1803906,1
DC Government Hosted Tech Career Collaboration for 50+ High School Students During National Cybersecurity Month | octo,/node/1803906/revisions/7211581/view,1
DC Government Hosted Tech Career Collaboration for 50+ High School Students During National Cybersecurity Month | octo,/release/dc-government-hosted-tech-career-collaboration-50-high-school-students-during-national,54
DC Government Property Search | octo,/node/715342,2
DC Government Property Search | octo,/service/dc-government-property-search,46
DC Health Search | octo,/node/1192290,1
"DC Launches GigabitDCx, a Competition for Gigabit-Speed Applications Addressing City Mobility and the Environment | octo",/release/dc-launches-gigabitdcx-competition-gigabit-speed-applications-addressing-city-mobility-and,5
DC Names New Chief Information Security Officer (CISO) | octo,/release/dc-names-new-chief-information-security-officer-ciso,30
DC Office of Campaign Finance - OCF | octo,/node/711902,2
DC Office of Unified Communications - OUC | octo,/node/712292,1
DC One Card - Database Privacy Policy | octo,/page/dc-one-card-database-privacy-policy,2
DC One Card - Frequently Asked Questions | octo,/am/page/dc-one-card-frequently-asked-questions,45
DC One Card - Frequently Asked Questions | octo,/es/page/dc-one-card-frequently-asked-questions,40
DC One Card - Frequently Asked Questions | octo,/fr/page/dc-one-card-frequently-asked-questions,42
DC One Card - Frequently Asked Questions | octo,/page/dc-one-card-frequently-asked-questions,219
DC One Card | octo,/node/701542,18
DC One Card | octo,/page/dc-one-card,870
DC One Card Amharic (አማርኛ) | octo,/node/1638951,6
DC One Card Amharic (አማርኛ) | octo,/page/dc-one-card-amharic-አማርኛ,2
DC One Card Application | octo,/external-link/dc-one-card-application,3
DC One Card Application | octo,/node/562552,1
DC One Card Chinese (中文) | octo,/node/1638596,3
DC One Card French (Français) | octo,/node/1638381,4
DC One Card French (Français) | octo,/page/dc-one-card-french-français,1
DC One Card Korean (한국어) | octo,/node/1638601,6
DC One Card Korean (한국어) | octo,/page/dc-one-card-korean-한국어,8
DC One Card Login | octo,/node/550622,46
DC One Card Transition | octo,/node/1800386,11
DC One Card Transition | octo,/onecardtransition,339
DC Public Schools - DCPS | octo,/external-link/dc-public-schools-dcps,1
DC Residents: Protect Yourself Against Ransomware | octo,/blog/dc-residents-protect-yourself-against-ransomware,9
"DC Seeks Feedback, Ideas for Upcoming Redesign of DC.gov Portal | octo",/release/dc-seeks-feedback-ideas-upcoming-redesign-dcgov-portal,10
DC Sex Offender Registry | octo,/external-link/dc-sex-offender-registry,1
DC Small Businesses Awarded Technology Tools to Better Compete in Today's Digital Economy | octo,/release/dc-small-businesses-awarded-technology-tools-better-compete-todays-digital-economy,6
DC State Broadband and Digital Equity Office (SBDEO) Opens Public Comment on BEAD and Digital Equity Plans | octo,/am/node/1692431,8
DC State Broadband and Digital Equity Office (SBDEO) Opens Public Comment on BEAD and Digital Equity Plans | octo,/release/dc-state-broadband-and-digital-equity-office-sbdeo-opens-public-comment-bead-and-digital,74
DC to Host 5 Public Listening Sessions on DC.gov Redesign Project | octo,/release/dc-host-5-public-listening-sessions-dcgov-redesign-project,5
"DC to launch All Hands On Tech, a Free Tech Support Pilot, this Saturday, September 22, 2018 at Anacostia Library | octo",/release/dc-launch-all-hands-tech-free-tech-support-pilot-saturday-september-22-2018-anacostia,9
DC Watershed Map | octo,/external-link/dc-watershed-map,5
DC Watershed Map | octo,/node/718172,1
DC Zoning Map | octo,/am/service/dc-zoning-map,9
DC Zoning Map | octo,/es/service/dc-zoning-map,1
DC Zoning Map | octo,/fr/service/dc-zoning-map,1
DC Zoning Map | octo,/node/617232,3
DC Zoning Map | octo,/service/dc-zoning-map,55
DC.Gov Web Style Guide | octo,/node/706822,36
DC.Gov Web Style Guide | octo,/publication/dcgov-web-style-guide,20
DC’s First Inclusive Innovation Incubator Officially Opens | octo,/fr/release/dc’s-first-inclusive-innovation-incubator-officially-opens,1
DC’s First Inclusive Innovation Incubator Officially Opens | octo,/release/dc’s-first-inclusive-innovation-incubator-officially-opens,13
DCBOE Voter App - Android | octo,/external-link/dcboe-voter-app-android,2
DCBOE Voter App - Apple | octo,/external-link/dcboe-voter-app-apple,1
DC-NET | octo,/es/page/dc-net,6
DC-NET | octo,/node/783122,3
DC-NET | octo,/page/dc-net,90
DC-Net | octo,/service/dc-net,72
DC-Net to Sponsor Internet for US Department of Energy Solar Decathlon 2011 | octo,/release/dc-net-sponsor-internet-us-department-energy-solar-decathlon-2011-0,1
DC-Net Wi-fi Hotspot App - Android | octo,/node/921482,2
DC-Net Wi-fi Hotspot App - Apple | octo,/node/921502,1
DCPS Boundary Information System - EBIS | octo,/node/712682,2
DCPS Boundary Information System - EBIS | octo,/service/dcps-boundary-information-system-ebis,50
DCPS Feeder School Patterns | octo,/node/712722,17
DCPS School Profiles | octo,/node/712742,1
DCPS School Profiles | octo,/service/dcps-school-profiles,19
Demographic - View 1 | octo,/node/719672,2
Demographic - View 2 | octo,/node/719682,2
"Development, Training and Support | octo",/fr/page/development-training-and-support,1
"Development, Training and Support | octo",/node/707002,1
"Development, Training and Support | octo",/page/development-training-and-support,118
Digital Equity Plan | octo,/featured-content/digital-equity-plan,34
Digital Equity Plan | octo,/node/1694021,4
Digital Inclusion Initiative Launches New Website | octo,/release/digital-inclusion-initiative-launches-new-website-0,1
Digital Services | octo,/event/digital-services,2
District Agency Support | octo,/es/page/district-agency-support,1
District Agency Support | octo,/fr/page/district-agency-support,7
District Agency Support | octo,/page/district-agency-support,145
District Breaks Ground on New Fiber Network Serving City's Most Underserved Areas | octo,/release/district-breaks-ground-new-fiber-network-serving-citys-most-underserved-areas-0,3
District DMV and OCTO Launch Mobile Initiative | octo,/release/dc-dmv-and-octo-launch-mobile-initiative,6
District FirstNet Planning | octo,/es/page/district-firstnet-planning,4
District FirstNet Planning | octo,/node/879652,1
District FirstNet Planning | octo,/page/district-firstnet-planning,6
District Government Enhances Online Leaf Collection Map | octo,/release/district-government-enhances-online-leaf-collection-map,5
District Government Releases First-ever DC Broadband Map | octo,/release/district-government-releases-first-ever-dc-broadband-map,3
District Government Web Style and Standards | octo,/es/page/district-government-web-style-and-standards,1
District Government Web Style and Standards | octo,/fr/page/district-government-web-style-and-standards,10
District Government Web Style and Standards | octo,/node/706982,26
District Government Web Style and Standards | octo,/page/district-government-web-style-and-standards,131
"District Government, Georgetown, GWU and Howard Join Forces for Historic Smart Cities Partnership | octo",/release/district-government-georgetown-gwu-and-howard-join-forces-historic-smart-cities-partnership,1
District Integrates 311-Service Request System with SeeClickFix | octo,/release/district-integrates-311-service-request-system-seeclickfix-0,4
District of Columbia Data Feeds Wins Innovations in American Government Award | octo,/release/district-columbia-data-feeds-wins-innovations-american-government-award,2
District of Columbia Data Policy | octo,/am/page/district-columbia-data-policy,4
District of Columbia Data Policy | octo,/node/1239971,47
