911 Service Interruption | OUC,/release/911-service-interruption,4
911 Statistics Performance Dashboard | OUC,/am/node/1679491,1
911 Statistics Performance Dashboard | OUC,/page/911-statistics-performance-dashboard,68
የኤጀንሲው ዳይሬክተሮችን ያግኙ | OUC,/am/page/contact-agency-directors,44
ድንገተኛ አስቸኳይ ሆኑ ጉዳዮች ቀጥሎ የተመለከቱትን ጨምሮ | OUC,/ar/node/1770306,3
對於警察非緊急情況 | OUC,/ar/node/1770356,4
ትክክለኛው ቁጥር ላይ ይደውሉ (Amharic) | OUC,/am/publication/ትክክለኛው-ቁጥር-ላይ-ይደውሉ-amharic,1
ትክክለኛው ቁጥር ላይ ይደውሉ (Amharic) | OUC,/ar/node/1770301,5
ትክክለኛው ቁጥር ላይ ይደውሉ (Amharic) | OUC,/node/1770301,2
ትክክለኛው ቁጥር ላይ ይደውሉ (Amharic) | OUC,/vi/node/1770301,4
About 311 | OUC,/page/311-about,1041
About 311 | OUC,/vi/page/311-about,1
About 911 | OUC,/es/page/911-about,5
About 911 | OUC,/page/911-about,322
About OUC | OUC,/ar/page/about-ouc,3
About OUC | OUC,/page/about-ouc,257
About OUC | OUC,/vi/page/about-ouc,3
About Our Dispatch System | OUC,/ar/page/about-our-dispatch-system,5
About Our Dispatch System | OUC,/es/page/about-our-dispatch-system,5
About Our Dispatch System | OUC,/page/about-our-dispatch-system,60
About the Unified Communications Center (UCC) | OUC,/ar/page/about-unified-communications-center-ucc,5
About the Unified Communications Center (UCC) | OUC,/page/about-unified-communications-center-ucc,69
ACT Test Date | OUC,/event/act-test-date-8,7
Active Shooter Incidents for Public Safety Communications | OUC,/node/1314086/metrics/aggregate,2
撥打正確的電話 | OUC,/ar/node/1770341,4
Agency Performance - OUC | OUC,/external-link/agency-performance-ouc,4
Amharic (አማርኛ) | OUC,/ar/page/amharic1-አማርኛ-,6
Amharic (አማርኛ) | OUC,/page/amharic-አማርኛ-2,1
Amharic (አማርኛ) | OUC,/page/amharic1-አማርኛ-,12
Ask the Director - OUC | OUC,/external-link/ask-director-ouc,22
Assistant Watch Commander | OUC,/release/assistant-watch-commander,64
Become a 911 Professional! | OUC,/ar/node/1658746,6
Become a 911 Professional! | OUC,/node/1658746,5
Become a 911 Professional! | OUC,/page/become-911-professional,3242
"Bowser Administration and Uber Launch 911 In-App Feature, Improving Emergency Responses for DC Ride-Sharing Passengers | OUC",/release/bowser-administration-and-uber-launch-911-app-feature-improving-emergency-responses-dc-ride,2
Bowser Administration Announces a Police Non-Emergency Line | OUC,/release/bowser-administration-announces-police-non-emergency-line,5
Bowser Administration Introduces Rave Panic Button to Streamline Data and Communication Sharing During Emergency Events | OUC,/release/bowser-administration-introduces-rave-panic-button-streamline-data-and-communication-sharing,17
"Bowser Administration Launches New “Make the Right Call” Campaign, Urging Residents to Only Use 911 for Emergencies | OUC",/node/1754346,3
"Bowser Administration Launches New “Make the Right Call” Campaign, Urging Residents to Only Use 911 for Emergencies | OUC",/release/bowser-administration-launches-new-make-right-call-campaign-urging-residents-only-use-91-0,1
"Bowser Administration Launches New “Make the Right Call” Campaign, Urging Residents to Only Use 911 for Emergencies | OUC",/release/bowser-administration-launches-new-“make-right-call”-campaign-urging-residents-only-use-911,16
Call 311 for Police Non-Emergencies | OUC,/es/node/1379591,1
Call 311 for Police Non-Emergencies | OUC,/node/1379591,2
Call 311 for Police Non-Emergencies | OUC,/page/call-311-police-non-emergencies,2800
Call 311 for Police Non-Emergencies | OUC,/page/call-311-police-non-emergencies/,1
Chancellor Community Forums | OUC,/event/chancellor-community-forums-0,2
Chinese (中文) | OUC,/es/page/chinese1-中文-2,6
Chinese (中文) | OUC,/page/chinese-中文-2,1
Chinese (中文) | OUC,/page/chinese1-中文-2,7
Cleo Subido appointed Interim Director of the Office of Unified Communications | OUC,/node/1518596,6
Cleo Subido appointed Interim Director of the Office of Unified Communications | OUC,/release/cleo-subido-appointed-interim-director-office-unified-communications,4
COML Training Course | OUC,/event/coml-training-course,4
Communications Training Officer | OUC,/event/communications-training-officer,3
COMT Training Course | OUC,/event/comt-training-course,30
Confirmation Resolution for Acting OUC Director Karima Holmes Draws Broad Support | OUC,/release/confirmation-resolution-acting-ouc-director-karima-holmes-draws-broad-support,12
Contáctese con los directores | OUC,/es/page/contact-agency-directors,45
Contact Agency Directors | OUC,/page/contact-agency-directors,103
Criteria Based Dispatch Training | OUC,/event/criteria-based-dispatch-training-6,1
Criteria Based Dispatch Training | OUC,/event/criteria-based-dispatch-training-8,59
Critical Incidents - Total Disaster Response | OUC,/event/critical-incidents-total-disaster-response,6
danielle.drumgoole | OUC,/users/danielledrumgoole,17
DBH and OUC Mental Health Emergency Dispatch Program | OUC,/page/dbh-and-ouc-mental-health-emergency-dispatch-program,51
DC 3-1-1 and DPR’s Crank Music Program Integrate Go-Go Music into Customer Service Calls | OUC,/release/dc-3-1-1-and-dpr’s-crank-music-program-integrate-go-go-music-customer-service-calls,5
DC 311 Mobile App | OUC,/es/page/dc311-mobile-app,1
DC 311 Mobile App | OUC,/page/dc-311-mobile-app,814
DC 311 Mobile App | OUC,/page/dc-311-smartphone-app,3
DC 311 Mobile App | OUC,/page/dc311-mobile-app,3
DC 9-1-1 Operator Wins Prestigious 9-1-1 Professional Award | OUC,/release/dc-9-1-1-operator-wins-prestigious-9-1-1-professional-award,7
DC Agencies Partner with DC311 Call Center to Raise Awareness About Pandemic Relief for Utility Consumers | OUC,/release/dc-agencies-partner-dc311-call-center-raise-awareness-about-pandemic-relief-utility,9
DC Implements ASAP | OUC,/release/dc-implements-asap,6
DC Office of Unified Communications and RapidSOS Roll Out New Lifesaving 911 Technology Deployed Across the District | OUC,/release/dc-office-unified-communications-and-rapidsos-roll-out-new-lifesaving-911-technology,2
Department of General Services Accepts Grounds Maintenance Requests Via 311 | OUC,/release/department-general-services-accepts-grounds-maintenance-requests-311-ouc,2
Department of General Services Requests for Service are Expanded on the DC311 System | OUC,/release/department-general-services-requests-service-are-expanded-dc311-system-0,4
Deputy Mayor’s Report Regarding Rhode Island Avenue Incident | OUC,/release/deputy-mayor’s-report-regarding-rhode-island-avenue-incident,2
Disability Awareness for 911 Telecommunications | OUC,/event/disability-awareness-911-telecommunications,2
Dispatcher | OUC,/release/dispatcher,54
District Consolidates Law Enforcement Call Centers at UCC | OUC,/ar/release/district-consolidates-law-enforcement-call-centers-ucc,1
District Consolidates Law Enforcement Call Centers at UCC | OUC,/release/district-consolidates-law-enforcement-call-centers-ucc,5
District Integrates 311-Service Request System with SeeClickFix | OUC,/fr/release/district-integrates-311-service-request-system-seeclickfix,7
District Integrates 311-Service Request System with SeeClickFix | OUC,/release/district-integrates-311-service-request-system-seeclickfix,9
District of Columbia Selects PURVIS Systems for Fire Station Alerting System | OUC,/am/release/district-columbia-selects-purvis-systems-fire-station-alerting-system,2
District of Columbia Selects PURVIS Systems for Fire Station Alerting System | OUC,/release/district-columbia-selects-purvis-systems-fire-station-alerting-system,7
District Unveils Unified Communications Center | OUC,/am/release/district-unveils-unified-communications-center,2
District Unveils Unified Communications Center | OUC,/release/district-unveils-unified-communications-center,8
"District’s Fire, Police and 911/311 All Receive ‘A-level’ Grades on Service | OUC",/release/district’s-fire-police-and-911311-all-receive-‘-level’-grades-service,0
다음을 포함한 경찰 비긴급 상황의 경우 | OUC,/ar/node/1770361,5
다음을 포함한 경찰 비긴급 상황의 경우 | OUC,/es/node/1770361,4
E911 Caucus Co-Chairs Senator Clinton and Representative Shimkus and FCC Public Safety Bureau Chief Poarch Honor Public Safety Telecommunicators | OUC,/release/e911-caucus-co-chairs-senator-clinton-and-representative-shimkus-and-fcc-public-safety,2
E911 Caucus Co-Chairs Senator Clinton and Representative Shimkus and FCC Public Safety Bureau Chief Poarch Honor Public Safety Telecommunicators | OUC,/vi/release/e911-caucus-co-chairs-senator-clinton-and-representative-shimkus-and-fcc-public-safety,1
EdFest | OUC,/es/node/1285646,2
EdFest | OUC,/event/edfest-1,2
Electronics Engineer | OUC,/node/1686876,1
Electronics Engineer | OUC,/release/electronics-engineer,3
Emergency Management Assistance Compact (EMAC) | OUC,/event/emergency-management-assistance-compact-emac,4
Events | OUC,/calendar/month,1
Events | OUC,/calendar/month/2023-04/aggregate,1
Events | OUC,/calendar/month/2024-07/aggregate,1
Events | OUC,/calendar/month/2025-02,2
Events | OUC,/calendar/month/2025-04,10
Events | OUC,/calendar/month/2025-04/aggregate,1
Events | OUC,/calendar/month/2025-07,2
Events | OUC,/calendar/month/2025-10/aggregate,1
Events | OUC,/calendar/month/2026-04,1
Events | OUC,/calendar/year,1
Events | OUC,/calendar/year/2025,1
"Executive Summary of After Action Report: Frederick Douglass Memorial Bridge Incident on Thursday, April 20, 2023 | OUC",/node/1672831,5
"Executive Summary of After Action Report: Frederick Douglass Memorial Bridge Incident on Thursday, April 20, 2023 | OUC",/release/executive-summary-after-action-report-frederick-douglass-memorial-bridge-incident-thursday,5
"Executive Summary of After Action Report: Frederick Douglass Memorial Bridge Incident on Thursday, April 20, 2023 | OUC",/vi/node/1672831,1
FCC Chairperson Genachowski Visits the Office of Unified Communications | OUC,/release/fcc-chairperson-genachowski-visits-office-unified-communications,8
Feedback | OUC,/page/feedback-0,3
Feedback | OUC,/page/feedback2,29
Fenty Launches 311 Phone Number to Request City Services | OUC,/release/fenty-launches-311-phone-number-request-city-services,2
"Final Review of 600 Block of Park Rd NW Call on August 9, 2022 | OUC",/release/final-review-600-block-park-rd-nw-call-august-9-2022,4
Fire Service Communications | OUC,/event/fire-service-communications,5
French (Français) | OUC,/es/page/french-français1,2
French (Français) | OUC,/page/french-français1,4
French (Français) | OUC,/vi/page/french-français1,1
"Frequently Asked Questions Right Care, Right Now | OUC",/es/node/1313601,1
"Frequently Asked Questions Right Care, Right Now | OUC",/page/frequently-asked-questions-right-care-right-now,3
FY19 Annual Report Page | OUC,/page/fy19-annual-report-page,1
GỌI ĐÚNG SỐ | OUC,/ar/node/1770336,5
Haga la llamada correcta | OUC,/ar/node/1770311,7
Halloween Safety Tips | OUC,/publication/halloween-safety-tips,27
Harvard Kennedy School Government Performance Lab Announces 2022-2023 Alternative 911 Emergency Response Implementation Cohort | OUC,/release/harvard-kennedy-school-government-performance-lab-announces-2022-2023-alternative-911,6
Heather McGaffin | OUC,/biography/heather-mcgaffin,237
Heather McGaffin | OUC,/biography/karima-holmes,2
History of OUC | OUC,/am/page/history-ouc,2
History of OUC | OUC,/es/page/history-ouc,5
History of OUC | OUC,/page/history-ouc,85
필요에 맞는 전화를 하십시오 | OUC,/ar/node/1770331,3
Incident Tactical Dispatch (INTD) Training Class | 4 Day Training | OUC,/event/incident-tactical-dispatch-intd-training-class-4-day-training,9
Incident Tactical Dispatch (INTD) Training Class | OUC,/event/incident-tactical-dispatch-intd-training-class,13
Industry Council for Emergency Response Technologies (iCERT) | OUC,/external-link/industry-council-emergency-response-technologies-icert,2
Interoperability and Mutual Aid Awareness for | OUC,/event/interoperability-and-mutual-aid-awareness,4
It’s Spooky to Not Know Your Address | OUC,/release/it’s-spooky-not-know-your-address,4
Janice Quintana Is Confirmed as OUC Director | OUC,/release/janice-quintana-confirmed-ouc-director,7
Karima Holmes is Confirmed as Director of the Office of Unified Communications | OUC,/ar/release/karima-holmes-confirmed-director-office-unified-communications,1
Karima Holmes is Confirmed as Director of the Office of Unified Communications | OUC,/release/karima-holmes-confirmed-director-office-unified-communications,11
Không Khẩn Cấp | OUC,/am/node/1770351,1
Korean (한국어) | OUC,/ar/page/korean1-한국어,3
Korean (한국어) | OUC,/es/page/korean1-한국어,2
Korean (한국어) | OUC,/page/korean-한국어-2,1
Korean (한국어) | OUC,/page/korean1-한국어,13
Lessons Learned: Denise Amber Lee Story | OUC,/event/lessons-learned-denise-amber-lee-story-0,1
Liability Issues in the 9-1-1 Center | OUC,/event/liability-issues-9-1-1-center,3
LIVE.LONG.DC. 3.0 data snapshot | OUC,/page/livelongdc-30-data-snapshot,1
Make the Right Call | OUC,/am/maketherightcall,1
Make the Right Call | OUC,/es/maketherightcall,11
Make the Right Call | OUC,/maketherightcall,425
Mayor Bowser and District Officials Commemorate 10th Anniversary of 911 and 311 Consolidation | OUC,/release/mayor-bowser-and-district-officials-commemorate-10th-anniversary-911-and-311-consolidation,5
Mayor Bowser Announces Director of the Office of Unified Communications | OUC,/am/release/mayor-bowser-announces-director-office-unified-communications,4
Mayor Bowser Announces Director of the Office of Unified Communications | OUC,/release/mayor-bowser-announces-director-office-unified-communications,2
Mayor Bowser Announces Key Appointments   | OUC,/release/mayor-bowser-announces-key-appointments  ,7
Mayor Bowser Announces New Life-Saving Technologies | OUC,/release/mayor-bowser-announces-new-life-saving-technologies,4
"Mayor Bowser Launches Text to 911 in Washington, DC | OUC",/ar/release/mayor-bowser-launches-text-911-washington-dc,4
"Mayor Bowser Launches Text to 911 in Washington, DC | OUC",/release/mayor-bowser-launches-text-911-washington-dc,9
Mayor Bowser Launching New Mental Health Emergency Dispatch Pilot Program | OUC,/release/mayor-bowser-launching-new-mental-health-emergency-dispatch-pilot-program-0,6
"Mayor Bowser Reopens the Public Safety Communications Center Following $18.5M Renovation, Highlights FY26 Public Safety Investments | OUC",/release/mayor-bowser-reopens-public-safety-communications-center-following-185m-renovation,17
Mayor Bowser to Announce Life-Saving Technologies for DC Residents | OUC,/release/mayor-bowser-announce-life-saving-technologies-dc-residents,10
Mayor Bowser to Highlight Tips to Avoid “Smash and Grab” Thefts | OUC,/release/mayor-bowser-highlight-tips-avoid-“smash-and-grab”-thefts,5
"Mayor Bowser to Launch Text to 911 in Washington, DC | OUC",/ar/release/mayor-bowser-launch-text-911-washington-dc,1
"Mayor Bowser to Launch Text to 911 in Washington, DC | OUC",/es/release/mayor-bowser-launch-text-911-washington-dc,1
"Mayor Bowser to Launch Text to 911 in Washington, DC | OUC",/release/mayor-bowser-launch-text-911-washington-dc,6
Mayor Gray Announces Launch of New Smart-Phone App for 311 Users | OUC,/release/mayor-gray-announces-launch-new-smart-phone-app-311-users,7
"Mayor Muriel Bowser Announces Safer, Stronger, Brighter Initiative | OUC",/release/mayor-muriel-bowser-announces-safer-stronger-brighter-initiative,7
Mayor Vincent C. Gray Launches DC’s New Smart911 Service | OUC,/release/mayor-vincent-c-gray-launches-dc’s-new-smart911-service1,5
My School DC Application Opens | OUC,/event/my-school-dc-application-opens,9
New Call Takers Join OUC Staff | OUC,/release/new-call-takers-join-ouc-staff,11
News Room | OUC,/am/newsroom,49
News Room | OUC,/ar/newsroom,47
News Room | OUC,/es/newsroom,53
News Room | OUC,/newsroom,699
News Room | OUC,/newsroom/12,43
News Room | OUC,/newsroom/in_the_news,5
News Room | OUC,/newsroom/press-releases,52
NG 9-1-1 Institute Hosts Tour of OUC Facility | OUC,/release/ng-9-1-1-institute-hosts-tour-ouc-facility,4
NG9-1-1 Institute Celebrates April as National 9-1-1 Education Month | OUC,/release/ng9-1-1-institute-celebrates-april-national-9-1-1-education-month,5
Office of Unified Communications | OUC,/agency/office-unified-communications,94
Office of Unified Communications launches Next Generation Training Academy | OUC,/release/office-unified-communications-launches-next-generation-training-academy,6
Office of Unified Communications named 9-1-1 Center of the Year by DATAMARK Technologies | OUC,/node/1779651,6
Office of Unified Communications named 9-1-1 Center of the Year by DATAMARK Technologies | OUC,/release/office-unified-communications-named-9-1-1-center-year-datamark-technologies,10
Office of Unified Communications Receives Industry Technology Award and Program Accreditation at APCO | OUC,/release/office-unified-communications-receives-industry-technology-award-and-program-accreditation,18
Office of Unified Communications Tour Request Form | OUC,/node/1659571,16
Office of Unified Communications Tour Request Form | OUC,/publication/ucc-tour-request-form,1
Online Services | OUC,/online-services,8
Open Government and FOIA - OUC | OUC,/am/page/open-government-and-foia-ouc,3
Open Government and FOIA - OUC | OUC,/ar/page/open-government-and-foia-ouc,4
Open Government and FOIA - OUC | OUC,/node/14802,33
Open Government and FOIA - OUC | OUC,/page/open-government-and-foia-ouc,183
OUC 2014 Open Government Report | OUC,/publication/ouc-2014-open-government-report,2
OUC and the Coronavirus (COVID-19) | OUC,/ko/node/1469156,1
OUC and the Coronavirus (COVID-19) | OUC,/page/ouc-and-coronavirus-covid-19,1
OUC Announces New Junior Academy to Expose Students to Career Opportunities | OUC,/node/1646066,4
OUC Announces New Junior Academy to Expose Students to Career Opportunities | OUC,/release/ouc-announces-new-junior-academy-expose-students-career-opportunities,7
OUC Brochure - 中文 | OUC,/am/publication/ouc-brochure-中文,6
OUC Brochure - 中文 | OUC,/publication/ouc-brochure-中文,3
OUC Brochure - አማርኛ | OUC,/es/publication/ouc-brochure-አማርኛ,7
OUC Brochure - አማርኛ | OUC,/publication/ouc-brochure-አማርኛ,2
OUC Brochure - Español | OUC,/ar/publication/ouc-brochure-español,5
OUC Brochure - Español | OUC,/publication/ouc-brochure-español,9
OUC Brochure - Français | OUC,/es/publication/ouc-brochure-français,4
OUC Brochure - Français | OUC,/publication/ouc-brochure-français,3
OUC Brochure - 한국어 | OUC,/ar/publication/ouc-brochure-한국어,3
OUC Brochure - 한국어 | OUC,/es/publication/ouc-brochure-한국어,1
OUC Brochure - 한국어 | OUC,/publication/ouc-brochure-한국어,2
OUC Brochure - Tiếng Việt | OUC,/publication/ouc-brochure-tiếng-việt,2
OUC Celebrates National 911 Education Month 2009 | OUC,/release/ouc-celebrates-national-911-education-month-2009,8
OUC Celebrates National 911 Education Month 2010 | OUC,/release/ouc-celebrates-national-911-education-month-2010,4
OUC Celebrates National Customer Service Week (Oct. 2-6) | OUC,/release/ouc-celebrates-national-customer-service-week-oct-2-6,8
OUC Citizen Engagement Academy | OUC,/page/ouc-citizen-engagement-academy,4
OUC Community Outreach | OUC,/ar/service/ouc-community-outreach,3
OUC Community Outreach | OUC,/service/ouc-community-outreach,45
OUC Director Discusses State of the Agency | OUC,/release/ouc-director-discusses-state-agency,6
OUC Donates Nearly 1000 Pounds of Food to Those in Need | OUC,/release/ouc-donates-nearly-1000-pounds-food-those-need,4
OUC Earns Platinum Award Status for One Fund Campaign Contributions | OUC,/release/ouc-earns-platinum-award-status-one-fund-campaign-contributions,7
OUC Employee Awards Ceremony | OUC,/am/node/1310846,4
OUC Employee Awards Ceremony | OUC,/event/ouc-employee-awards-ceremony-0,1
OUC Employee Awards Ceremony | OUC,/node/1310846,2
OUC Feedback Form | OUC,/am/node/1647421,50
OUC Feedback Form | OUC,/ar/node/1647421,47
OUC Feedback Form | OUC,/es/node/1647421,47
OUC Feedback Form | OUC,/fr/node/1647421,3
OUC Feedback Form | OUC,/node/1647421,45
OUC Feedback Form | OUC,/page/feedback,269
OUC Highlights Recent Innovations During Visit from National Highway Traffic Safety Administration | OUC,/node/1704456,1
OUC Holds First 911 Telecommunicator Prospect Day | OUC,/node/1660286,5
OUC Holds First 911 Telecommunicator Prospect Day | OUC,/release/ouc-holds-first-911-telecommunicator-prospect-day,2
OUC in Pictures | OUC,/am/page/ouc-pictures,5
OUC in Pictures | OUC,/page/ouc-pictures,43
OUC Information Technology | OUC,/am/page/ouc-information-technology,10
OUC Information Technology | OUC,/es/page/ouc-information-technology,0
OUC Information Technology | OUC,/node/18322,1
OUC Information Technology | OUC,/page/ouc-information-technology,121
OUC Is Honored by NG911 Institute | OUC,/release/ouc-honored-ng911-institute,9
OUC Job Fair Draws Over 800 Applicants | OUC,/release/ouc-job-fair-draws-over-800-applicants,4
OUC Junior Academy | OUC,/am/page/junior-academy,2
OUC Junior Academy | OUC,/page/junior-academy,106
OUC Named PSAP of the Year by NICE Comms | OUC,/release/ouc-named-psap-year-nice-comms,6
OUC Network | OUC,/page/ouc-network,64
OUC Open House | OUC,/event/ouc-open-house,1
OUC Opens Call Simulation Lab | OUC,/release/ouc-opens-call-simulation-lab,10
OUC Radio Engineering | OUC,/ar/page/ouc-radio-engineering,4
OUC Radio Engineering | OUC,/es/page/ouc-radio-engineering,3
OUC Radio Engineering | OUC,/page/ouc-radio-engineering,80
OUC Response to DC Auditor's 9-1-1 Operations Division Audit and Process Improvement Recommendations Follow-Up Report | OUC,/node/1651726,5
OUC Response to DC Auditor's 9-1-1 Operations Division Audit and Process Improvement Recommendations Follow-Up Report | OUC,/release/ouc-response-dc-auditors-9-1-1-operations-division-audit-and-process-improvement,3
OUC Statement on DC 911 Operations Staffing - September 8 | OUC,/node/1679551,9
OUC Statement on DC 911 Operations Staffing - September 8 | OUC,/release/ouc-statement-dc-911-operations-staffing-september-8,7
"OUC Statement on July 3, 2022 Incident on Savannah Terrace, SE | OUC",/release/ouc-statement-july-3-2022-incident-savannah-terrace-se,4
OUC Statement on New Dashboard – September 8 | OUC,/node/1679501,1
OUC Statement on New Dashboard – September 8 | OUC,/release/ouc-statement-new-dashboard-–-september-8,13
OUC Statement on Radio Interference | OUC,/node/1771041,4
OUC Statement on Radio Interference | OUC,/release/ouc-statement-radio-interference,12
OUC Statement on Radio Interference | OUC,/vi/node/1771041,3
OUC Statement on Text to 911 - September 6 | OUC,/release/ouc-statement-text-911-september-6,2
OUC Statement on the Launch of PowerPhone | OUC,/fr/node/1709371,1
OUC Statement on the Launch of PowerPhone | OUC,/release/ouc-statement-launch-powerphone,11
"OUC Statement on the September 18, 2022 Incident in the 600 block of H Street, NE | OUC",/release/ouc-statement-september-18-2022-incident-600-block-h-street-ne,2
"OUC to Host 9-1-1 Community Block Party on Friday, April 22 | OUC",/release/ouc-host-9-1-1-community-block-party-friday-april-22,6
OUC to Host Second Annual Technology Rally | OUC,/release/ouc-host-second-annual-technology-rally,5
OUC Training and Development | OUC,/node/1502476,40
OUC Training and Development | OUC,/page/ouc-training-and-development,192
OUC/311 on Twitter | OUC,/external-link/ouc311-twitter,3
OUC’s Public Safety In-building Radio Systems Requirements | OUC,/ar/node/1248551,5
OUC’s Public Safety In-building Radio Systems Requirements | OUC,/node/1248551,3
OUC’s Public Safety In-building Radio Systems Requirements | OUC,/page/oucs-public-safety-building-radio-systems-requirements,399
OUC’s Public Safety In-building Radio Systems Requirements | OUC,/page/ouc’s-public-safety-building-radio-systems-requirements,1
Our Offices and Divisions | OUC,/am/node/1610186,46
Our Offices and Divisions | OUC,/ar/node/1610186,38
Our Offices and Divisions | OUC,/es/node/1610186,36
Our Offices and Divisions | OUC,/node/1610186,42
Our Offices and Divisions | OUC,/page/our-offices-and-divisions,212
Our Offices and Divisions | OUC,/vi/node/1610186,3
Overview | OUC,/page/overview-update,42
Para solicitar la presencia de un Policía para asuntos que NO sean de Emergencias | OUC,/ar/node/1770316,5
PASSEZ LE BON APPEL | OUC,/ar/node/1770321,3
PASSEZ LE BON APPEL | OUC,/node/1770321,3
Passing of 311 Operations Chief Erick Hines | OUC,/node/1476846,4
Passing of 311 Operations Chief Erick Hines | OUC,/release/passing-311-operations-chief-erick-hines,5
Passing of OUC Chief Administrative Officer Yvonne McManus | OUC,/fr/node/1506021,1
Passing of OUC Chief Administrative Officer Yvonne McManus | OUC,/release/passing-ouc-chief-administrative-officer-yvonne-mcmanus,9
Pour la police Pas d’urgence | OUC,/ar/node/1770326,5
Procedures for the Remittance and Reporting of 911 Fees | OUC,/publication/procedures-remittance-and-reporting-911-fees,5
Professional Development Day (No School for Students) | OUC,/event/professional-development-day-no-school-students-3,8
Professional Development Day (No School for Students) | OUC,/node/1285616,1
Public Safety Telecommunicator | OUC,/event/public-safety-telecommunicator,1
Public Transparency | OUC,/es/node/1610201,1
Public Transparency | OUC,/page/ouc-statistics-data,3
Public Transparency | OUC,/page/public-transparency,228
Public Transparency | OUC,/vi/node/1610201,7
Publications | OUC,/publications,5
Publications List | OUC,/publications-list,2
PulsePoint | OUC,/page/pulsepoint,74
Quicker 911 Operators Touted by DC Mayor | OUC,/fr/release/quicker-911-operators-touted-dc-mayor,4
Quicker 911 Operators Touted by DC Mayor | OUC,/release/quicker-911-operators-touted-dc-mayor,7
Repeats | OUC,/node/1310846/repeats,4
Repeats | OUC,/node/1314051/repeats,1
Repeats | OUC,/node/1314181/repeats,1
Repeats | OUC,/node/1314196/repeats,1
Repeats | OUC,/node/1344496/repeats,1
Repeats | OUC,/node/1346506/repeats,2
Repeats | OUC,/node/1456071/repeats,1
Repeats | OUC,/node/1489331/repeats,1
Request a Site Visit or Tour | OUC,/es/service/request-site-visit-or-tour,6
Request a Site Visit or Tour | OUC,/service/request-site-visit-or-tour,19
Reset password | OUC,/user/reset/77101/1758292301/confirm,1
Resilience Training | OUC,/event/resilience-training,1
"Right Care, Right Now | OUC",/page/right-care-right-now1,174
RSS Feeds | DC,/rss,1
SAT Test Date | OUC,/event/sat-test-date-11,1
Schedule a Presentation | OUC,/ar/service/schedule-presentation,1
